2016-01-08 02:42:04 INFO  Steps:29 - 
==========================================
Browser started
2016-01-08 02:42:12 INFO  LoginPage:38 - Login page opened
2016-01-08 02:42:35 INFO  LastFmTest:35 - User is logged in successfully
2016-01-08 02:42:36 INFO  Steps:35 - Browser closed
2016-01-08 02:42:45 INFO  Steps:29 - 
==========================================
Browser started
2016-01-08 02:43:04 INFO  LoginPage:38 - Login page opened
2016-01-08 02:43:27 INFO  UserPage:57 - User page opened
2016-01-08 02:43:50 INFO  LastFmTest:108 - User is logged out successfully
2016-01-08 02:43:52 INFO  Steps:35 - Browser closed
2016-01-08 02:44:01 INFO  Steps:29 - 
==========================================
Browser started
2016-01-08 02:44:07 INFO  LoginPage:38 - Login page opened
2016-01-08 02:44:28 INFO  UserPage:57 - User page opened
2016-01-08 02:44:43 INFO  LastFmTest:65 - Comment is posted successfully
2016-01-08 02:44:45 INFO  Steps:35 - Browser closed
2016-01-08 02:44:52 INFO  Steps:29 - 
==========================================
Browser started
2016-01-08 02:45:24 INFO  LastFmTest:48 - Search is completed successfully
2016-01-08 02:45:25 INFO  Steps:35 - Browser closed
2016-01-08 02:47:57 INFO  Steps:29 - Browser started
2016-01-08 02:48:30 INFO  LastFmTest:48 - Search is completed successfully
2016-01-08 02:48:34 INFO  Steps:35 - Browser closed
====================================
2016-01-08 02:50:19 INFO  Steps:29 - Browser started
2016-01-08 02:50:26 INFO  LoginPage:38 - Login page opened
2016-01-08 02:50:46 INFO  LastFmTest:35 - User is logged in successfully
2016-01-08 02:50:47 INFO  Steps:35 - Browser closed
====================================
2016-01-08 02:56:08 INFO  Steps:29 - Browser started
2016-01-08 02:56:19 INFO  LoginPage:38 - Login page opened
2016-01-08 03:01:38 INFO  UserLibraryPage:50 - User library page opened
2016-01-08 03:05:38 INFO  UserLibraryPage:50 - User library page opened
2016-01-08 03:05:43 INFO  LastFmTest:91 - Song is deleted successfully
2016-01-08 03:05:44 INFO  UserLibraryPage:50 - User library page opened
2016-01-08 03:05:50 INFO  Steps:35 - Browser closed
====================================
2016-01-08 03:05:57 INFO  Steps:29 - Browser started
2016-01-08 03:06:06 INFO  LoginPage:38 - Login page opened
2016-01-10 17:33:02 INFO  Steps:28 - Browser started
2016-01-10 17:33:02 INFO  LoginPage:38 - Login page opened
2016-01-10 17:33:57 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 17:34:10 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 17:34:16 INFO  LastFmTest:96 - Song is deleted successfully
2016-01-10 17:34:17 INFO  UserLibraryPage:50 - User library page opened
2016-01-10 17:34:26 INFO  Steps:34 - Browser closed
